tzgk.0,fiesco,
11g1d.0,götz,
twt3.0,maria,
tz9d.0,johanna,
tz0c.0,tell,
v0nx.0,wallenstein,
tz6r.0,octavio,max
11f78.0,iphigenie,
11d2m.0,tasso,
qdm9.0,ödipus,
qd2g.0,elektra,
v3vp.0,anatol,
v3tw.0,bernhardi,
v18g.0,meister_oelze,
rksp.0,emilia,
rjmw.0,sara,
t25v.0,lucie,
wd6t.0,peter,
wd1q.0,zerbino,
wdvq.0,hinze_der_kater,
wp6p.0,ludwig,
v1sm.0,jon,
v341.0,alarcos,
kqwr.0,ponce,
k4xx.0,caboga,
x8hc.0,klementina,
x8fs.0,lady_johanna_gray,
v3mq.0,canut,
nks0.0,cato,
nmg0.0,don_juan,faust
nmg5.0,gothland,
nmfn.0,napoleon,
nmfv.0,hannibal,
kscn.0,leonce,lena
ksd1.0,danton,
p5c8.0,savage,
p5cg.0,uriel,
rfcv.0,monaldeschi,
rfcn.0,struensee,
qkmw.0,figaro,
r2mv.0,graf,adolph
